record_id,school_name,region,school_type,academic_year,grade,subject,male_count,female_count,total_enrollment,dropout_rate,avg_performance_score,pass_rate,teacher_student_ratio,budget_per_student_usd,data_quality_flag
1913,Oakridge International,South,International,2019,Grade 11,English,23,24.0,47.0,0.0224,78.0,0.7693,0.0472,4470.28,clean
3811,Southview Academy,South,Private,2020,Grade 7,Mathematics,21,32.0,53.0,0.0261,72.9,0.6996,0.0618,3364.91,clean
6839,Southview Academy,south,Private,2022,Grade 12,Social Studies,21,41.0,62.0,0.0078,79.0,0.8064,0.0544,10333.04,clean
1219,Harborview Academy,North,Public,2018,Grade 4,Social Studies,45,38.0,83.0,0.0149,66.8,0.6681,0.0447,4546.51,clean
7729,Hilltop Institute,West,Private,2023,grade 10,Social Studies,20,35.0,55.0,0.0669,75.6,0.6666,0.0574,4513.98,clean
4748,Lakeview Primary,Central,Public,2021,Grade 2,English,55,35.0,90.0,0.0428,,0.6292,0.0433,6707.44,missing_score
2270,Westfield Primary,West,Public,2019,Grade 10,Arts,47,37.0,84.0,0.0309,88.9,0.8877,0.0656,9213.73,clean
51,Greenwood High School,North,Public,2018,Grade 11,Mathematics,35,31.0,66.0,0.05,55.6,0.5589,0.0549,3353.81,clean
9371,Oakridge International,South,International,2024,Grade 3,Mathematics,9,38.0,47.0,0.0387,82.9,0.8288,0.0434,5014.25,clean
1925,Pinecrest Elementary  ,East ,Public,2019,Grade 1,Arts,52,47.0,99.0,0.0342,85.5,0.8893,0.0413,9304.28,duplicate
10213,Harborview Academy,North,Public,2024,Grade 3,English,26,46.0,72.0,0.012,49.2,0.498,0.0658,6265.56,clean
3725,Westfield Primary,West,Public,2020,Grade 1,Arts,39,28.0,67.0,0.0177,65.0,0.6238,0.0373,7938.22,clean
187,Hilltop Institute,West,Private,2018,GRADE 2,Science,16,37.0,999.0,0.0377,76.1,0.7127,0.0456,7143.22,outlier_enrollment
7670,Riverside School,East,Public,2023,Grade 10,Arts,62,45.0,107.0,0.094,,0.6044,0.0511,6043.46,missing_score
1539,Greenwood High School,North,Public,2019,Grade 8,Social Studies,43,44.0,87.0,0.0826,44.5,0.3991,0.0491,10170.96,clean
1428,Redwood Institute,West,Public,2018,Grade 10,English,39,32.0,71.0,0.0988,58.2,0.6478,0.0473,9457.83,clean
7786,Lakeview Primary,Central,Public,2023,Grade 10,Mathematics,44,40.0,84.0,0.0445,53.2,0.5085,0.03,5028.31,clean
9638,Northgate School,North,Public,2024,Grade 8,English,42,28.0,70.0,0.1069,64.7,0.641,0.0473,5803.58,clean
1138,Willowbrook High,West,Public,2018,Grade 12,English,29,40.0,69.0,0.037,59.5,0.582,0.0483,,missing_budget
5309,Southview Academy,South,Private,2021,Grade 6,SOCIAL STUDIES,26,33.0,59.0,0.0212,86.0,0.8414,0.0579,11196.67,clean
7519,Greenwood High School,North,Public,2023,Grade 4,Social Studies,48,25.0,73.0,0.0729,68.2,0.6869,0.0633,6673.95,clean
215,Hilltop Institute,West,Private,2018,Grade 7,Arts,29,32.0,61.0,0.0669,76.4,0.7564,0.0611,6952.35,clean
2360,Clearwater High,Central,Public,2019,Grade 4,arts,30,47.0,77.0,0.0228,,0.8681,0.03,5011.23,missing_score
4988,Valleyview High,West,Public,2021,Grade 2,English,45,38.0,83.0,0.0183,64.2,0.6382,0.0312,7969.85,clean
566,Crestwood Academy,Central,Charter,2018,Grade 6,Mathematics,23,27.0,50.0,0.0923,68.6,0.6567,0.0382,11286.81,clean
3842,Clearwater High,Central,Public,2020,Grade 1,Science,29,47.0,76.0,0.0294,66.2,0.7826,0.031,3292.19,clean
9369,Oakridge International,South,International,2024,Grade 2,Social Studies,44,5.0,49.0,0.0133,76.7,0.7286,0.0286,11570.14,clean
6778,Westfield Primary,West,Public,2022,Grade 12,English,56,43.0,99.0,0.0615,71.3,0.6556,0.0364,3387.09,clean
9462,Pinecrest Elementary,East,Public,2024,Grade 9,Science,20,48.0,68.0,0.0317,67.1,0.646,0.0455,9978.99,clean
10578,,,,,,,,,,,,,,,completely_empty
7327,Silverstone School,East,Private,2022,Grade 2,Science,29,34.0,63.0,0.0301,78.1,0.7482,0.0383,6254.28,clean
8596,Willowbrook High,West,Public,2023,Grade 4,Mathematics,-25,46.0,87.0,0.0421,76.1,0.7664,0.0533,7576.9,negative_count
2756,Harborview Academy,North,Public,2019,Grade 12,Mathematics,35,40.0,75.0,0.0732,79.5,0.7526,0.0603,5171.86,clean
1398,Redwood Institute,West,Public,2018,Grade 4,English,48,48.0,96.0,0.0732,55.7,0.5655,0.0316,9799.49,clean
8000,Valleyview High,West,Public,2023,Grade 4,Fine Arts,48,47.0,95.0,0.0503,66.4,0.6961,0.0611,5970.98,clean
4889,Oakridge International,South,International,2021,Grade 6,Social Studies,36,30.0,66.0,0.0418,67.8,0.6291,0.0636,,missing_budget
6277,Lakeview Primary,Central,Public,2022,Grade 8,Science,-23,41.0,81.0,0.0181,62.9,0.7119,0.0361,10336.01,negative_count
3381,Oakridge International,South,International,2020,Grade 5,Mathematics,27,21.0,48.0,0.0367,83.5,0.8072,0.0296,8285.07,clean
4425,Redwood Institute,West,Public,2020,Grade 9,Arts,48,45.0,93.0,0.1072,67.4,0.6904,0.0629,11292.09,clean
4826,Maplewood Secondary,North,Public,2021,Grade 6,Mathematics,32,48.0,80.0,0.0091,71.0,0.6955,0.039,10745.43,clean
4431,Redwood Institute,West,Public,2020,Grade 11,Mathematics,22,29.0,51.0,0.1024,58.2,0.6657,0.0589,8483.72,clean
3987,Fairview Elementary,South,Public,2020,Grade 6,Sci,33,49.0,82.0,0.042,62.8,0.6772,0.0431,5945.49,clean
897,Clearwater High,Central,Public,2018,Grade 12,Science,43,22.0,65.0,0.088,65.7,0.7088,0.0379,3445.03,clean
1500,Bluebell Primary,Central,Public,2018,Grade 12,Arts,38,47.0,85.0,0.0572,83.7,0.8179,0.0497,9500.1,clean
10114,Willowbrook High,West,Public,2024,Grade 7,Social Studies,47,42.0,89.0,0.0757,68.3,0.7104,0.0424,6158.48,clean
2294,Southview Academy,South,Private,2019,Grade 3,Social Studies,23,27.0,50.0,0.0292,87.7,0.8158,0.0643,8868.13,clean
4589,Sunset Academy,South,Private,2021,Grade 6,Social Studies,29,37.0,66.0,0.0329,75.5,0.7418,0.0298,5041.88,clean
9198,Hilltop Institute,West,Private,2024,Grade 4,English,41,32.0,73.0,0.1187,74.9,0.7231,0.0492,7866.0,clean
1513,Greenwood High School,North,Public,2019,Grade 3,English,67,45.0,112.0,0.018,61.1,0.6237,0.0524,5526.77,clean
10010,Fairview Elementary,South,Public,2024,Grade 10,Arts,41,35.0,76.0,0.0282,48.0,0.4799,0.0369,10946.72,clean
5935,Redwood Institute,West,Public,2021,Grade 11,Arts,40,34.0,74.0,0.0485,89.4,0.9369,0.0288,7614.92,clean
3758,Westfield Primary,West,Public,2020,Grade 8,Eng,23,29.0,52.0,0.1211,67.4,0.6672,0.0466,3668.51,clean
3852,Clearwater High,Central,Public,2020,Grade 3,Science,21,46.0,67.0,0.0026,80.0,0.8872,0.0649,5687.73,clean
6274,Lakeview Primary,Central,Public,2022,Grade 7,Social Studies,32,46.0,78.0,0.0151,,0.8489,0.0655,6026.78,missing_score
1288,Meadowlands High,South,Charter,2018,Grade 6,english,30,26.0,56.0,0.0371,70.8,0.6905,0.0315,6536.5,clean
2137,Northgate School,North,Public,2019,Grade 8,Science,47,34.0,81.0,0.0834,73.7,0.7387,0.0422,11626.57,clean
5519,Fairview Elementary,South,Public,2021,Grade 12,Social Studies,38,35.0,73.0,0.0928,72.9,0.6828,0.046,3242.85,clean
1592,Sunset Academy,South,Private,2019,Grade 7,Science,25,48.0,73.0,0.0471,72.5,0.7538,0.056,9016.62,clean
15,Greenwood High School,North,Public,2018,Grade 3,Arts,30,34.0,64.0,0.0382,49.4,0.4974,0.0531,4569.3,clean
5332,Southview Academy!!,South,Private,2021,Grade 11,Science,31,9.0,40.0,0.2035,70.6,0.7172,0.0513,3192.42,special_characters
10195,Cedar Ridge Academy,central,International,2024,Grade 11,Arts,38,26.0,64.0,,150.0,0.7967,0.0454,8302.92,outlier_score
4516,Greenwood High School,North,Public,2021,Grade 4,Mathematics,36,44.0,80.0,0.039,58.8,0.65,0.0463,8313.21,clean
4931,Pinecrest Elementary,East,Public,2021,Grade 3,Mathematics,32,19.0,51.0,0.0329,73.3,0.7748,0.0623,9111.28,clean
9591,Crestwood Academy,Central,Charter,2024,Grade 11,Mathematics,5,29.0,34.0,0.089,65.2,0.6965,0.0605,4298.8,clean
2589,Willowbrook High,West,Public,2019,Grade 2,Social Studies,45,53.0,98.0,0.0109,81.2,0.8378,0.0484,9461.74,clean
3383,oakridge international,South,International,2020,Grade 5,English,36,8.0,44.0,0.0146,81.6,0.8178,0.0532,4604.18,inconsistent_name
6167,Riverside School,East,Public,2022,Grade 10,Science,48,47.0,95.0,0.0735,66.7,0.5956,0.0471,9994.11,clean
9428,Pinecrest Elementary,East,Public,2024,Grade 2,English,48,29.0,77.0,0.0575,63.0,0.6527,0.0389,10088.25,clean
7504,Greenwood High School,North,Public,2023,Grade 1,Social Studies,40,64.0,104.0,0.0187,67.0,0.6135,0.0294,3157.69,clean
7328,Silverstone School,East,Private,2022,Grade 2,English,37,41.0,78.0,0.017,90.8,0.9641,0.0521,10968.53,clean
5429,Brightstone School,North,Charter,2021,Grade 6,Social Studies,25,41.0,66.0,0.04,64.3,0.5161,0.0333,9170.71,clean
2155,Northgate School,North,Public,2019,Grade 11,Arts,38,30.0,68.0,0.1656,74.7,0.8329,0.0622,11907.21,duplicate
3830,Southview Academy,South,Private,2020,Grade 10,Arts,22,35.0,57.0,0.08,87.7,0.8919,0.0576,4944.09,clean
959,Brightstone School,North,Charter,2018,Grade 12,Social Studies,38,17.0,55.0,0.1811,75.4,0.7069,,10517.21,clean
6425,Pinecrest Elementary,East,Public,2022,Grade 1,Arts,37,29.0,66.0,0.0068,76.4,0.8283,0.0603,9651.03,duplicate
5631,Willowbrook High,West,Public,2021,Grade 11,Mathematics,29,38.0,67.0,0.0899,71.1,,0.0493,7994.23,clean
820,Southview Academy,South,Private,2018,Grade 8,Arts,36,29.0,65.0,0.076,78.1,0.732,0.0551,8281.38,clean
6725,Westfield Primary,West,Public,2022-23,Grade 1,Arts,40,35.0,75.0,0.0193,82.0,0.8145,0.0455,3480.51,clean
3836,Southview Academy,South,Private,2020,Grade 12,Mathematics,31,22.0,53.0,0.2677,82.2,0.8097,0.064,4479.5,clean
7974,Pinecrest Elementary,East,Public,2023,Grade 11,Social Studies,25,42.0,67.0,0.008,,0.9802,0.0553,4037.49,missing_score
3682,Eastbrook Institute,East,Charter,2020,Grade 5,Science,28,46.0,74.0,0.0592,55.8,0.6179,0.0555,6520.99,clean
911,Brightstone School,North,Charter,2018,Grade 3,Mathematics,37,29.0,66.0,0.0546,81.0,0.807,0.0646,4930.12,clean
2147,Northgate School,North,Public,2019,Grade 10,Science,20,55.0,75.0,0.0721,73.7,0.6569,0.0359,11586.79,clean
3326,Maplewood Secondary,North,Public,2020,Grade 6,Mathematics,12,37.0,49.0,0.1091,55.9,0.5389,0.0406,5945.18,clean
4384,Redwood Institute,West,Public,2020,Grade 1,Social Studies,35,33.0,68.0,0.0229,31.2,0.3,0.0489,4661.26,clean
6263,Lakeview Primary,Central,Public,2022,Grade 5,English,36,49.0,85.0,0.0442,80.1,0.7625,0.0582,10551.68,clean
7825,Maplewood Secondary,North,Public,2023,Grade 5,Arts,40,41.0,90.0,0.0803,78.2,0.8347,0.0536,4973.28,inconsistent_total
1273,Meadowlands High,South,Charter,2018,Grade 3,English,38,36.0,74.0,0.0822,75.0,,0.0567,8445.03,clean
4034,Stonegate Secondary,East,Private,2020,Grade 3,SS,27,27.0,54.0,,84.5,0.7949,0.0289,3842.41,missing_dropout
889,Clearwater High,Central,Public,2018,Grade 10,Social Studies,46,36.0,82.0,0.0567,80.0,0.7681,0.057,7547.99,clean
9887,Clearwater High,Central,Public,2024,Grade 10,Science,38,52.0,90.0,0.0694,66.5,0.7053,,6296.31,clean
5803,Meadowlands High,South,Charter,2021,Grade 9,English,24,40.0,64.0,0.0337,89.6,,0.0448,10046.75,clean
9071,Sunset Academy,South,Private,2024,Grade 3,Mathematics,25,30.0,55.0,0.0383,71.0,0.6435,0.0441,9933.93,clean
2295,Southview Academy,South,Private,2019,Grade 3,Arts,32,18.0,50.0,0.0602,82.9,0.9515,0.056,3363.5,clean
7975,Pinecrest Elementary,East,Public,2023,Grade 11,Arts,39,38.0,77.0,0.1167,79.2,0.741,0.0456,8400.59,clean
3160,Riverside School,East,Public,2020,Grade 8,Arts,41,43.0,84.0,0.0433,62.3,0.6575,0.0666,6527.7,clean
4355,Silverstone School,East,Private,2020,Grade 7,Arts,46,32.0,78.0,0.0763,78.1,0.7784,0.0519,3626.73,clean
3645,Northgate School,North,Public,2020,Grade 9,Arts,-23,39.0,103.0,0.0317,79.3,0.7774,0.0466,5385.83,negative_count
9837,Southview Academy,South,Private,2024,Grade 12,Science,24,37.0,61.0,0.1526,71.3,0.7525,0.0526,5021.49,clean
8061,Crestwood Academy,Central,Charter,2023,Grade 5,Mathematics,29,40.0,69.0,0.0684,78.9,0.822,0.0568,10721.15,clean
3180,Riverside School,East,Public,2020,Grade 12,Arts,33,39.0,72.0,0.1938,63.8,0.5839,0.0369,10324.56,clean
8917,Redwood Institute,West,Public,2023,Grade 8,Science,35,21.0,56.0,0.0266,60.2,0.5708,0.0558,5333.12,clean
4499,Bluebell Primary,Central,Public,2020,Grade 12,Social Studies,40,41.0,81.0,0.1964,,0.6872,0.0501,11697.1,missing_score
2262,Westfield Primary,West,Public,2019,Grade 9,Science,33,31.0,64.0,0.0225,86.9,,0.0542,4919.58,clean
5615,Willowbrook High,West,Public,2021,Grade 7,Arts,47,28.0,75.0,0.0726,92.7,0.9774,0.046,6084.57,clean
5248,Westfield Primary,West,Public,2021,Grade 6,English,25,47.0,72.0,0.0296,66.1,0.6124,0.0315,,missing_budget
5364,Clearwater High,Central,Public,2021,Grade 5,Social Studies,35,37.0,72.0,0.0227,69.5,0.7013,0.0593,9598.13,clean
2702,Harborview Academy,North,Public,2019,Grade 1,Science,46,26.0,72.0,0.0153,53.9,0.5363,0.0463,5278.34,clean
7067,@Stonegate Secondary,East,Private,2022,Grade 10,Science,46,15.0,61.0,0.042,85.3,0.8328,0.038,10364.61,special_characters
24,Greenwood High School,North,Public,2018,Grade 5,Social Studies,45,45.0,90.0,0.0299,79.4,0.8266,0.0625,6041.96,clean
2254,Westfield Primary,West,Public,2019,Grade 7,Social Studies,47,33.0,80.0,0.0242,92.5,0.9883,0.0505,3736.78,clean
2226,Westfield Primary,West,Public,2019,Grade 2,Mathematics,45,35.0,80.0,0.0231,66.3,0.6576,0.0597,5543.89,clean
2557,Stonegate Secondary,East,Private,2019,Grade 8,Science,33,37.0,70.0,0.0321,63.8,0.6487,0.0553,6705.75,clean
278,Lakeview Primary,Central,Public,2018,Grade 8,english,45,32.0,77.0,0.0274,93.1,0.9981,0.0551,9319.31,clean
1694,Hilltop Institute,West,Private,2019,Grade 3,Social Studies,32,15.0,47.0,0.0352,89.5,0.8497,0.048,7475.29,clean
4791,Lakeview Primary,Central,Public,2021,Grade 11,Mathematics,31,42.0,73.0,0.0653,61.5,0.6522,0.0445,6557.55,clean
8791,Meadowlands High,South,Charter,2023,Grade 7,Mathematics,45,14.0,59.0,0.0489,61.2,0.7135,0.047,7055.97,clean
6508,Valleyview High,West,Public,2022,Grade 6,English,53,50.0,103.0,0.0281,64.4,0.5537,0.054,7448.33,clean
7682,Hilltop Institute,West,Private,2023,Grade 1,Science,41,13.0,54.0,0.0511,75.0,0.7734,0.0466,7392.14,clean
2290,Southview Academy,South,Private,2019,Grade 2,Arts,48,20.0,68.0,0.0207,92.3,0.9031,0.0515,11736.43,clean
10186,Cedar Ridge Academy,Central,International,2024,Grade 10,mathematics,19,29.0,48.0,0.0436,85.4,0.8358,0.0532,6365.19,clean
8880,Silverstone School,eastern,Private,2023,Grade 12,ARTS,26,21.0,47.0,0.0748,61.8,0.5812,0.0431,6234.13,clean
8147,northgate school,North,Public,2023,Gr.10,Science,45,27.0,72.0,0.0701,65.3,0.6852,0.0606,9671.69,inconsistent_name
9954,Brightstone School,North,Charter,2024,Grade 11,Social Studies,24,21.0,45.0,0.0265,73.3,0.7033,0.0403,6058.78,clean
6127,Riverside School,East,Public,2022,Grade 2,Science,32,38.0,70.0,0.0288,57.8,0.5995,0.0631,6250.19,clean
4373,Silverstone School,East,Private,2020,Grade 11,English,12,29.0,41.0,0.0256,79.9,0.8489,0.0314,9108.71,clean
8420,Brightstone School,North,Charter,2023,Grade 4,Arts,10,26.0,36.0,,70.0,0.7064,0.0437,5221.53,missing_dropout
3122,Riverside School,East,Public,2020,Grade 1,Science,36,35.0,71.0,0.0042,46.4,0.4665,0.0659,7434.46,clean
7037,Stonegate Secondary,East,Private,2022,Grade 4,Science,17,17.0,34.0,0.0355,79.9,0.7863,0.0639,10219.86,clean
4157,Cedar Ridge Academy,Central,International,2020,Grade 4,Science,45,32.0,77.0,0.0441,79.0,0.8061,0.0552,6298.58,clean
8350,Clearwater High,Central,Public,2023,Grade 2,Arts,35,46.0,81.0,0.0355,52.0,0.5155,0.0549,8861.45,clean
521,Valleyview High,West,Public,2018,Grade 9,Mathematics,51,24.0,75.0,0.134,66.0,0.6158,0.0461,,missing_budget
7142,Cedar Ridge Academy,Central,International,2022,Grade 1,Science,21,18.0,39.0,0.0391,74.3,0.728,0.0542,11785.16,clean
9739,Westfield Primary,West,Public,2024,Grade 4,Social Studies,51,63.0,114.0,0.0142,63.5,0.5875,0.0617,7421.59,clean
9094,Sunset Academy,South,Private,2024,Grade 7,Social Studies,18,37.0,55.0,0.0109,70.4,0.7437,0.0404,11082.98,clean
8817,Meadowlands High,South,Charter,2023,Grade 12,Science,39,44.0,83.0,0.025,89.6,0.9266,0.0428,6980.51,clean
6780,Westfield Primary,West,Public,2022,Grade 12,Arts,29,60.0,89.0,0.1075,68.6,0.7029,0.0376,11109.33,clean
263,Lakeview Primary,Central,Public,2018,Grade 5,English,50,46.0,96.0,0.0089,72.1,0.8042,0.0545,6673.37,duplicate
6673,Eastbrook Institute,East,Charter,2022,Grade 3,English,19,21.0,40.0,0.0711,67.0,0.6573,0.0433,7802.5,clean
9088,Sunset Academy,South,Private,2024,Grade 6,English,12.0,9.0,21.0,0.0882,92.0,1.0,0.0533,10147.74,wrong_datatype
7053,Stonegate Secondary,East,Private,2022,Grade 7,English,25,42.0,67.0,0.0449,74.1,0.815,0.053,9040.94,clean
5104,Northgate School,north,Public,2021,Grade 1,Social Studies,47,39.0,86.0,0.0465,72.0,0.7157,0.0416,11262.75,clean
3192,Hilltop Institute,West,Private,2020,Grade 3,Science,24,27.0,51.0,0.0444,,0.6841,0.0655,10208.08,missing_score
6366,Oakridge International,South,International,2022,Grade 2,Mathematics,47,5.0,52.0,,84.9,0.8967,0.0617,5414.53,missing_dropout
603,Northgate School,North,Public,2018-19,Grade 1,English,32,40.0,72.0,0.0061,66.7,0.6836,0.0597,11636.33,clean
7316,Meadowlands High,South,Charter,2022,Grade 12,Mathematics,30,27.0,57.0,0.2471,71.6,0.6929,0.0511,5350.04,clean
3010,Greenwood High School,North,Public,2020,Grade 2,Arts,47,42.0,89.0,0.0528,88.2,0.8004,0.0566,,duplicate
1628,Riverside School,East,Public,2019,Grade 2,English,32,31.0,63.0,0.0605,64.0,0.7177,0.0562,9140.58,clean
10261,Meadowlands High,South,Charter,2024,Grade 1,Mathematics,19,17.0,36.0,0.0377,74.9,0.7867,0.0606,3765.25,clean
10588,,,,,,,,,,,,,,,completely_empty
5928,Redwood Institute,West,Public,2021,Grade 10,English,36,15.0,51.0,0.1986,68.6,0.6892,,5873.65,clean
7383,Redwood Institute,West,Public,2022,grade 1,ENGLISH,29,47.0,76.0,0.0208,64.3,0.7531,0.0573,3240.53,clean
9495,Valleyview High,West,Public,2024,Grade 3,Arts,26,36.0,62.0,0.0401,78.9,0.7714,0.034,11853.73,clean
6654,Northgate School,North,Public,2022,Grade 11,Social Studies,30,39.0,69.0,0.032,68.4,0.8162,0.0562,9462.46,clean
8608,Willowbrook High,West,Public,2023,Grade 6,English,45,45.0,90.0,0.0136,68.8,0.7219,0.0487,7755.52,clean
4464,Bluebell Primary,Central,Public,2020,Grade 5,Social Studies,38,31.0,69.0,0.0142,,0.6355,0.031,5247.58,missing_score
7395,Redwood Institute,West,Public,2022,Grade 3,Arts,38,27.0,65.0,0.0197,76.2,0.8112,0.0319,11094.0,clean
9190, Hilltop Institute ,West,Private,2024,Grade 2,Arts,13,44.0,57.0,0.0759,90.1,0.9081,0.0288,10325.03,clean
5280,Westfield Primary,West,Public,2021,Grade 12,Arts,41,34.0,75.0,0.0316,56.1,0.6006,0.0309,11370.05,clean
1989,Valleyview High,West,Public,2019,Grade 2,Social Studies,20,46.0,66.0,0.0471,68.1,0.7258,0.0409,11708.98,clean
6004,Greenwood High School,North,Public,2022,Grade 1,Social Studies,37,35.0,72.0,0.0344,72.2,0.773,0.0657,5180.53,clean
3387,Oakridge International,South,International,2020,Grade 6,Science,31,31.0,62.0,0.0829,71.8,0.7833,0.0506,7269.09,clean
9835,Southview Academy,South,Private,2024,Grade 11,arts,21,40.0,61.0,0.0511,,0.8234,0.0338,11017.71,missing_score
5472,Fairview Elementary,South,Public,2021,Grade 3,Science,36,25.0,61.0,0.0257,50.0,0.5229,0.0664,7638.96,clean
2833,Silverstone School,East,Private,2019,Grade 3,English,17,35.0,52.0,0.0673,83.2,0.8189,0.0337,9486.43,clean
10541,Bluebell Primary,Central,Public,2019,Grade 11,Science,60,40.0,99.0,0.1324,69.5,0.6585,0.0529,6459.15,near_duplicate
7366,Silverstone School,East,Private,2022,Grade 10,Mathematics,47,23.0,70.0,0.0295,83.5,0.8375,0.0342,5345.69,clean
5185,Eastbrook Institute,East,Charter,2021,Grade 5,Arts,25,5.0,30.0,0.1008,75.8,0.6707,0.0532,11562.03,clean
9414,Oakridge International,South,International,2024,Grade 11,Social Studies,na,26.0,59.0,0.0417,72.3,0.708,0.0446,11775.36,wrong_datatype
1300,Meadowlands High,South,Charter,2018,Grade 8,Arts,30,38.0,68.0,0.1693,57.5,0.6265,0.0626,4681.51,clean
2030,Valleyview High,West,Public,2019,Grade 10,Arts,32,36.0,68.0,0.1296,66.0,0.7044,0.0409,6413.17,clean
3424,Pinecrest Elementary,East,Public,2020,Grade 1,Socials,23,55.0,78.0,0.0205,79.3,0.7417,0.0411,4224.55,clean
6058,Greenwood High School,North,Public,2022,Grade 12,English,34,62.0,96.0,0.0295,38.0,0.3,0.0599,5770.82,clean
9963,Fairview Elementary,South,Public,2024,Grade 1,English,28,35.0,63.0,0.0126,70.4,,0.0555,5161.05,clean
2628,Willowbrook High,West,Public,2019,Grade 10,English,37,35.0,72.0,0.0968,63.5,0.5616,0.0322,3671.52,clean
6219,Hilltop Institute,W,Private,2022,Grade 8,Social Studies,42,37.0,79.0,0.0775,83.5,0.7465,0.0305,4562.74,clean
1511,Greenwood High School,North,Public,2019,Grade 3,Mathematics,26,18.0,44.0,0.038,150.0,0.6517,0.0604,4732.67,outlier_score
6786, Southview Academy ,South ,Private,2022,Grade 2,Mathematics,25,37.0,62.0,0.069,81.7,0.8539,0.035,3437.36,clean
752,Westfield Primary,West,Public,2018,Grade 7,science,45,34.0,79.0,0.0496,84.1,0.8777,0.0415,4287.73,clean
6583,Crestwood Academy,Central,Charter,2022,Grade 9,English,19,30.0,49.0,0.073,57.7,0.5424,0.05,6682.7,clean
9849,Clearwater High,Central,Public,2024,Grade 2,Social Studies,38,33.0,71.0,0.0234,57.6,0.6339,0.0544,6854.57,clean
9785,Southview Academy,South,Private,2024,Grade 1,art,33,11.0,44.0,0.0032,76.7,0.763,0.0326,8514.45,clean
1583,Sunset Academy,South,Private,2019,Grade 5,English,31,38.0,69.0,0.0082,80.6,0.8313,0.049,7158.54,clean
8200,Eastbrook Institute,East,Charter,2023,Grade 8,Arts,45,25.0,70.0,0.0603,79.1,0.7463,0.0553,3065.43,clean
